,stature,weightkg,chestcircumference,waistcircumference,size,color,nearest
262,1573,713,1023,966,xl,4.0,272.94321753800733
263,1699,843,1126,907,xxl,5.0,440.51106683033515
264,1660,663,864,734,large,3.0,266.4000750750645
265,1630,589,900,812,large,3.0,190.31815467789718
266,1639,862,1100,1113,xxl,5.0,434.81605306152164
267,1576,605,981,907,xl,4.0,172.62966141425406
268,1592,616,884,755,large,3.0,189.7893569197177
269,1606,715,1030,910,xl,4.0,285.41373477812874
270,1635,549,825,757,medium,1.0,167.40967713964446
271,1688,647,949,768,large,3.0,272.31048455760936
272,1634,796,1015,946,xl,4.0,371.04177662360337
273,1646,576,925,741,large,3.0,192.85227507084275
274,1517,548,845,782,medium,1.0,99.46356116689167
275,1533,570,948,881,large,3.0,124.45481107614924
276,1608,582,830,775,medium,1.0,170.55204484262273
277,1636,553,889,718,medium,1.0,170.60187572239644
278,1555,698,1005,871,xl,4.0,254.02558926218438
279,1543,666,954,920,large,3.0,220.238507078122
280,1744,670,925,812,large,3.0,328.5361471740971
281,1587,618,947,818,large,3.0,189.19038030513073
282,1655,582,899,787,large,3.0,203.59027481684876
283,1612,796,1033,948,xl,4.0,363.6756796927724
284,1709,823,996,972,xl,4.0,427.56286087545067
285,1547,567,906,763,large,3.0,126.08727136392476
286,1685,704,906,824,large,3.0,314.2308068920041
287,1700,760,1005,877,xl,4.0,368.9173349139343
288,1643,702,990,953,xl,4.0,289.74644087546613
289,1697,927,1039,963,xl,4.0,516.0794512475768
290,1662,704,936,805,large,3.0,301.2640038238887
291,1601,590,882,776,large,3.0,172.62966141425406
292,1475,575,903,828,large,3.0,127.47548783981962
293,1562,607,944,821,large,3.0,168.7986966774329
294,1507,577,875,797,large,3.0,127.1927670899568
295,1468,499,881,764,large,3.0,58.52349955359813
296,1636,687,926,847,large,3.0,273.2489707208428
297,1585,680,1021,863,xl,4.0,245.20399670478457
298,1635,617,896,833,large,3.0,214.74170531128786
299,1498,462,841,737,medium,1.0,12.165525060596439
300,1574,618,914,883,large,3.0,183.5755975068582
301,1552,631,881,812,large,3.0,188.32153355365392
302,1572,653,929,838,large,3.0,215.3903433304288
303,1575,598,892,856,large,3.0,165.91865476793137
304,1705,755,1071,940,xxl,5.0,367.4914965002592
305,1603,702,987,907,xl,4.0,272.237029075767
306,1593,655,961,832,large,3.0,225.10886255321003
307,1602,523,882,700,medium,1.0,125.4312560727987
308,1567,750,1082,951,xxl,5.0,307.3906309567681
309,1617,765,1030,951,xl,4.0,336.02678464670043
310,1628,695,933,807,large,3.0,276.4217791708895
311,1536,637,917,852,large,3.0,190.4337155022713
312,1530,602,874,880,large,3.0,154.9322432549145
313,1563,653,956,895,large,3.0,212.55117030964567
314,1677,669,824,811,medium,1.0,281.58480072617556
315,1615,668,945,856,large,3.0,246.4731222669117
316,1743,657,863,756,large,3.0,319.2146613174276
317,1637,857,1103,932,xxl,5.0,429.4391691497179
318,1544,560,854,746,medium,1.0,118.4736257569591
319,1588,616,851,798,medium,1.0,187.88294228055935
320,1674,776,974,784,large,3.0,369.52943049234926
321,1620,666,1001,930,xl,4.0,247.09512338368802
322,1613,549,790,740,medium,1.0,150.23315213360866
323,1541,539,854,818,medium,1.0,97.98979538707079
324,1586,685,985,869,xl,4.0,250.2418829852429
325,1502,505,826,740,medium,1.0,55.036351623268054
326,1585,634,956,837,large,3.0,202.68448386593386
327,1648,653,834,785,medium,1.0,251.22300850041583
328,1563,614,912,855,large,3.0,175.6843760839307
329,1636,577,834,825,medium,1.0,186.07794065928394
330,1707,634,928,837,large,3.0,276.9566753122228
331,1633,734,998,895,xl,4.0,313.6000637755037
332,1618,662,919,911,large,3.0,242.62728618191318
333,1548,647,986,889,xl,4.0,202.76340892774513
334,1640,667,865,827,large,3.0,258.24213443975407
335,1591,558,848,788,medium,1.0,141.2267680009707
336,1529,563,947,847,large,3.0,116.66190466471906
337,1510,642,945,827,large,3.0,192.26024029944412
338,1600,583,859,815,medium,1.0,166.4001201922643
339,1618,735,1072,906,xxl,5.0,308.4623153644542
340,1776,889,1035,995,xl,4.0,518.5527938407043
341,1546,532,845,705,medium,1.0,94.02127418834527
342,1629,565,870,781,large,3.0,172.81782315490494
343,1531,503,874,761,large,3.0,61.40032573203501
344,1505,607,964,905,large,3.0,157.07959765672945
345,1554,601,927,810,large,3.0,160.3652081967906
346,1599,654,967,854,large,3.0,226.75316976836288
347,1543,623,965,895,large,3.0,178.2638493918495
348,1658,771,999,900,xl,4.0,357.777864044158
349,1634,630,893,819,large,3.0,224.4014260204244
350,1645,721,1009,878,xl,4.0,307.3532169995948
351,1537,444,805,690,medium,1.0,37.48332962798263
352,1458,445,808,694,medium,1.0,42.2965719651132
353,1595,512,840,719,medium,1.0,113.44161493913951
354,1534,603,995,886,xl,4.0,156.7322557739791
355,1674,850,1022,933,xl,4.0,436.20637317673385
356,1527,643,995,883,xl,4.0,194.87944991712183
357,1570,463,807,668,medium,1.0,71.19691004531025
358,1627,645,915,801,large,3.0,232.71012010653942
359,1583,661,1032,900,xl,4.0,226.73773395709856
360,1605,833,1030,981,xl,4.0,397.13221979587604
361,1584,712,1052,908,xl,4.0,275.13632984395207
362,1615,695,1033,991,xl,4.0,270.64737205448716
363,1584,620,939,850,large,3.0,189.62067397834025
364,1664,669,954,814,large,3.0,273.60007309940545
365,1545,543,893,830,large,3.0,103.31505214633539
366,1673,625,842,701,medium,1.0,246.07722365143832
